Survey Number,Village,Extent,Boundary Coordinates,Land Classification,Adjoining Survey Numbers
116/A,Alangombu,0.2988,77.008758 11.319089; 77.009156 11.319089; 77.009156 11.319711; 77.008758 11.319711,NANJAI,116/A2
116/A2,Alangombu,0.2180,77.008385 11.319136; 77.008728 11.319136; 77.008728 11.319664; 77.008385 11.319664,NANJAI,116/A
116/B,Alangombu,0.3182,77.009437 11.319118; 77.009903 11.319118; 77.009903 11.319682; 77.009437 11.319682,NANJAI,116/B2
116/B2,Alangombu,0.2679,77.009824 11.319059; 77.010149 11.319059; 77.010149 11.319741; 77.009824 11.319741,NANJAI,116/B
118/A,Alangombu,0.2660,77.009241 11.316852; 77.009557 11.316852; 77.009557 11.317548; 77.009241 11.317548,PUNJAI,118/A2
118/A2,Alangombu,0.2209,77.008774 11.316934; 77.009119 11.316934; 77.009119 11.317466; 77.008774 11.317466,PUNJAI,118/A
118/B,Alangombu,0.2855,77.009820 11.316908; 77.010225 11.316908; 77.010225 11.317492; 77.009820 11.317492,PUNJAI,118/B2
118/B2,Alangombu,0.2041,77.010228 11.316912; 77.010522 11.316912; 77.010522 11.317488; 77.010228 11.317488,PUNJAI,118/B
120/A,Alangombu,0.2851,77.009670 11.314668; 77.010026 11.314668; 77.010026 11.315332; 77.009670 11.315332,PUNJAI,120/A2; 120/B
120/A2,Alangombu,0.1878,77.009270 11.314764; 77.009600 11.314764; 77.009600 11.315236; 77.009270 11.315236,PUNJAI,120/A
120/B,Alangombu,0.2804,77.010263 11.314709; 77.010662 11.314709; 77.010662 11.315291; 77.010263 11.315291,PUNJAI,120/A; 120/B2
120/B2,Alangombu,0.3389,77.010708 11.314635; 77.011092 11.314635; 77.011092 11.315365; 77.010708 11.315365,PUNJAI,120/B
122/A,Alangombu,0.2762,77.010177 11.312441; 77.010496 11.312441; 77.010496 11.313159; 77.010177 11.313159,PUNJAI,122/A2; 122/B
122/A2,Alangombu,0.1948,77.009789 11.312519; 77.010076 11.312519; 77.010076 11.313081; 77.009789 11.313081,PUNJAI,122/A
122/B,Alangombu,0.2460,77.010746 11.312494; 77.011079 11.312494; 77.011079 11.313106; 77.010746 11.313106,HOUSE_SITE,122/A; 122/B2
122/B2,Alangombu,0.2315,77.011175 11.312504; 77.011499 11.312504; 77.011499 11.313096; 77.011175 11.313096,PUNJAI,122/B
