Survey Number,Village,Extent,Boundary Coordinates,Land Classification,Adjoining Survey Numbers
108/A,Kizhakku Sirumugai,0.1861,77.006606 11.331210; 77.006872 11.331210; 77.006872 11.331790; 77.006606 11.331790,HOUSE_SITE,108/A2
108/A2,Kizhakku Sirumugai,0.3568,77.006043 11.331143; 77.006458 11.331143; 77.006458 11.331857; 77.006043 11.331857,PUNJAI,108/A
108/B,Kizhakku Sirumugai,0.3743,77.007150 11.331165; 77.007613 11.331165; 77.007613 11.331835; 77.007150 11.331835,PUNJAI,108/B2
108/B2,Kizhakku Sirumugai,0.2720,77.007585 11.331179; 77.007937 11.331179; 77.007937 11.331821; 77.007585 11.331821,PUNJAI,108/B
109/A,Kizhakku Sirumugai,0.2307,77.006707 11.330134; 77.007066 11.330134; 77.007066 11.330666; 77.006707 11.330666,HOUSE_SITE,109/A2
109/A2,Kizhakku Sirumugai,0.3080,77.006249 11.330115; 77.006696 11.330115; 77.006696 11.330685; 77.006249 11.330685,PUNJAI,109/A
109/B,Kizhakku Sirumugai,0.2303,77.007358 11.330093; 77.007668 11.330093; 77.007668 11.330707; 77.007358 11.330707,PUNJAI,109/B2
109/B2,Kizhakku Sirumugai,0.2814,77.007792 11.330134; 77.008231 11.330134; 77.008231 11.330666; 77.007792 11.330666,PUNJAI,109/B
110/A,Kizhakku Sirumugai,0.2311,77.006927 11.329049; 77.007308 11.329049; 77.007308 11.329551; 77.006927 11.329551,HOUSE_SITE,110/A2
110/A2,Kizhakku Sirumugai,0.2808,77.006527 11.328988; 77.006899 11.328988; 77.006899 11.329612; 77.006527 11.329612,PUNJAI,110/A
110/B,Kizhakku Sirumugai,0.2556,77.007597 11.328972; 77.007919 11.328972; 77.007919 11.329628; 77.007597 11.329628,HOUSE_SITE,110/B2
110/B2,Kizhakku Sirumugai,0.2153,77.008009 11.329040; 77.008352 11.329040; 77.008352 11.329560; 77.008009 11.329560,PUNJAI,110/B
111/A,Kizhakku Sirumugai,0.1933,77.007220 11.327935; 77.007522 11.327935; 77.007522 11.328465; 77.007220 11.328465,PUNJAI,111/A2
111/A2,Kizhakku Sirumugai,0.2459,77.006805 11.327874; 77.007118 11.327874; 77.007118 11.328526; 77.006805 11.328526,PUNJAI,111/A
111/B,Kizhakku Sirumugai,0.2647,77.007827 11.327827; 77.008122 11.327827; 77.008122 11.328573; 77.007827 11.328573,PUNJAI,111/B2
111/B2,Kizhakku Sirumugai,0.3242,77.008251 11.327823; 77.008608 11.327823; 77.008608 11.328577; 77.008251 11.328577,PUNJAI,111/B
112/A,Kizhakku Sirumugai,0.3825,77.007334 11.326756; 77.007796 11.326756; 77.007796 11.327444; 77.007334 11.327444,PUNJAI,112/A2; 112/B
112/A2,Kizhakku Sirumugai,0.2914,77.007003 11.326728; 77.007328 11.326728; 77.007328 11.327472; 77.007003 11.327472,PUNJAI,112/A
112/B,Kizhakku Sirumugai,0.1817,77.008024 11.326833; 77.008307 11.326833; 77.008307 11.327367; 77.008024 11.327367,PUNJAI,112/A; 112/B2
112/B2,Kizhakku Sirumugai,0.1733,77.008473 11.326846; 77.008755 11.326846; 77.008755 11.327354; 77.008473 11.327354,PUNJAI,112/B
113/A,Kizhakku Sirumugai,0.3316,77.007619 11.325624; 77.007985 11.325624; 77.007985 11.326376; 77.007619 11.326376,PUNJAI,113/A2
113/A2,Kizhakku Sirumugai,0.1754,77.007313 11.325746; 77.007599 11.325746; 77.007599 11.326254; 77.007313 11.326254,PUNJAI,113/A
113/B,Kizhakku Sirumugai,0.2945,77.008267 11.325665; 77.008631 11.325665; 77.008631 11.326335; 77.008267 11.326335,HOUSE_SITE,113/B2
113/B2,Kizhakku Sirumugai,0.2270,77.008679 11.325637; 77.008938 11.325637; 77.008938 11.326363; 77.008679 11.326363,PUNJAI,113/B
114/A,Kizhakku Sirumugai,0.2606,77.007871 11.324547; 77.008177 11.324547; 77.008177 11.325253; 77.007871 11.325253,HOUSE_SITE,114/A2
114/A2,Kizhakku Sirumugai,0.3141,77.007370 11.324573; 77.007768 11.324573; 77.007768 11.325227; 77.007370 11.325227,PUNJAI,114/A
114/B,Kizhakku Sirumugai,0.2831,77.008466 11.324618; 77.008882 11.324618; 77.008882 11.325182; 77.008466 11.325182,PUNJAI,114/B2
114/B2,Kizhakku Sirumugai,0.2385,77.008925 11.324618; 77.009275 11.324618; 77.009275 11.325182; 77.008925 11.325182,PUNJAI,114/B
115/A,Kizhakku Sirumugai,0.2779,77.008059 11.323438; 77.008377 11.323438; 77.008377 11.324162; 77.008059 11.324162,NANJAI,115/A2
115/A2,Kizhakku Sirumugai,0.2331,77.007628 11.323527; 77.007982 11.323527; 77.007982 11.324073; 77.007628 11.324073,NANJAI,115/A
115/B,Kizhakku Sirumugai,0.2995,77.008655 11.323486; 77.009050 11.323486; 77.009050 11.324114; 77.008655 11.324114,NANJAI,115/B2
115/B2,Kizhakku Sirumugai,0.2080,77.009094 11.323543; 77.009429 11.323543; 77.009429 11.324057; 77.009094 11.324057,NANJAI,115/B
