Survey Number,Village,Extent,Boundary Coordinates,Land Classification,Adjoining Survey Numbers
117/A,Thenkarai Pudur,0.2280,77.009003 11.318020; 77.009340 11.318020; 77.009340 11.318580; 77.009003 11.318580,PUNJAI,117/A2
117/A2,Thenkarai Pudur,0.4059,77.008445 11.317929; 77.008898 11.317929; 77.008898 11.318671; 77.008445 11.318671,PUNJAI,117/A
117/B,Thenkarai Pudur,0.3427,77.009630 11.317975; 77.010067 11.317975; 77.010067 11.318625; 77.009630 11.318625,PUNJAI,117/B2
117/B2,Thenkarai Pudur,0.2387,77.010045 11.317966; 77.010341 11.317966; 77.010341 11.318634; 77.010045 11.318634,PUNJAI,117/B
119/A,Thenkarai Pudur,0.3389,77.009364 11.315774; 77.009795 11.315774; 77.009795 11.316426; 77.009364 11.316426,PUNJAI,119/A2
119/A2,Thenkarai Pudur,0.2558,77.008937 11.315849; 77.009360 11.315849; 77.009360 11.316351; 77.008937 11.316351,PUNJAI,119/A
119/B,Thenkarai Pudur,0.2066,77.010063 11.315797; 77.010345 11.315797; 77.010345 11.316403; 77.010063 11.316403,HOUSE_SITE,119/B2
119/B2,Thenkarai Pudur,0.2772,77.010483 11.315737; 77.010799 11.315737; 77.010799 11.316463; 77.010483 11.316463,PUNJAI,119/B
121/A,Thenkarai Pudur,0.2594,77.009866 11.313622; 77.010252 11.313622; 77.010252 11.314178; 77.009866 11.314178,PUNJAI,121/A2; 121/B
121/A2,Thenkarai Pudur,0.3234,77.009366 11.313617; 77.009839 11.313617; 77.009839 11.314183; 77.009366 11.314183,PUNJAI,121/A
121/B,Thenkarai Pudur,0.2620,77.010491 11.313563; 77.010813 11.313563; 77.010813 11.314237; 77.010491 11.314237,PUNJAI,121/A; 121/B2
121/B2,Thenkarai Pudur,0.3631,77.010913 11.313543; 77.011334 11.313543; 77.011334 11.314257; 77.010913 11.314257,PUNJAI,121/B
