Survey Number,Village,Guideline Value Per Hectare,Effective From
108/A,Kizhakku Sirumugai,7400000,01-04-2025
108/A2,Kizhakku Sirumugai,2680000,01-04-2025
108/B,Kizhakku Sirumugai,2680000,01-04-2025
108/B2,Kizhakku Sirumugai,2680000,01-04-2025
109/A,Kizhakku Sirumugai,7400000,01-04-2025
109/A2,Kizhakku Sirumugai,2680000,01-04-2025
109/B,Kizhakku Sirumugai,2680000,01-04-2025
109/B2,Kizhakku Sirumugai,2680000,01-04-2025
110/A,Kizhakku Sirumugai,7400000,01-04-2025
110/A2,Kizhakku Sirumugai,2680000,01-04-2025
110/B,Kizhakku Sirumugai,7400000,01-04-2025
110/B2,Kizhakku Sirumugai,2680000,01-04-2025
111/A,Kizhakku Sirumugai,2680000,01-04-2025
111/A2,Kizhakku Sirumugai,2680000,01-04-2025
111/B,Kizhakku Sirumugai,2680000,01-04-2025
111/B2,Kizhakku Sirumugai,2680000,01-04-2025
112/A,Kizhakku Sirumugai,2680000,01-04-2025
112/A2,Kizhakku Sirumugai,2680000,01-04-2025
112/B,Kizhakku Sirumugai,2680000,01-04-2025
112/B2,Kizhakku Sirumugai,2680000,01-04-2025
113/A,Kizhakku Sirumugai,2680000,01-04-2025
113/A2,Kizhakku Sirumugai,2680000,01-04-2025
113/B,Kizhakku Sirumugai,7400000,01-04-2025
113/B2,Kizhakku Sirumugai,2680000,01-04-2025
114/A,Kizhakku Sirumugai,7400000,01-04-2025
114/A2,Kizhakku Sirumugai,2680000,01-04-2025
114/B,Kizhakku Sirumugai,2680000,01-04-2025
114/B2,Kizhakku Sirumugai,2680000,01-04-2025
115/A,Kizhakku Sirumugai,4150000,01-04-2025
115/A2,Kizhakku Sirumugai,4150000,01-04-2025
115/B,Kizhakku Sirumugai,4150000,01-04-2025
115/B2,Kizhakku Sirumugai,4150000,01-04-2025
116/A,Alangombu,4150000,01-04-2025
116/A2,Alangombu,4150000,01-04-2025
116/B,Alangombu,4150000,01-04-2025
116/B2,Alangombu,4150000,01-04-2025
117/A,Thenkarai Pudur,2680000,01-04-2025
117/A2,Thenkarai Pudur,2680000,01-04-2025
117/B,Thenkarai Pudur,2680000,01-04-2025
117/B2,Thenkarai Pudur,2680000,01-04-2025
118/A,Alangombu,2680000,01-04-2025
118/A2,Alangombu,2680000,01-04-2025
118/B,Alangombu,2680000,01-04-2025
118/B2,Alangombu,2680000,01-04-2025
119/A,Thenkarai Pudur,2680000,01-04-2025
119/A2,Thenkarai Pudur,2680000,01-04-2025
119/B,Thenkarai Pudur,7400000,01-04-2025
119/B2,Thenkarai Pudur,2680000,01-04-2025
120/A,Alangombu,2680000,01-04-2025
120/A2,Alangombu,2680000,01-04-2025
120/B,Alangombu,2680000,01-04-2025
120/B2,Alangombu,2680000,01-04-2025
121/A,Thenkarai Pudur,2680000,01-04-2025
121/A2,Thenkarai Pudur,2680000,01-04-2025
121/B,Thenkarai Pudur,2680000,01-04-2025
121/B2,Thenkarai Pudur,2680000,01-04-2025
122/A,Alangombu,2680000,01-04-2025
122/A2,Alangombu,2680000,01-04-2025
122/B,Alangombu,7400000,01-04-2025
122/B2,Alangombu,2680000,01-04-2025
